,name,company,year,Price,kms_driven,fuel_type
345,Toyota Fortuner,Toyota,2011,"10,74,999","52,000 kms",Diesel
346,Hyundai i10 Sportz,Hyundai,2012,"2,30,000","34,000 kms",Petrol
347,Mahindra Bolero Power,Mahindra,2018,"6,99,000","1,800 kms",Diesel
348,Mahindra XUV500,Mahindra,2015,"10,00,000","15,000 kms",Diesel
349,Honda City 1.5,Honda,2010,"2,40,000","4,00,000 kms",Petrol
350,Chevrolet Spark LT,Chevrolet,2009,"1,10,000","44,000 kms",Petrol
351,Mahindra Jeep MM,Mahindra,2019,"3,90,000",60 kms,Diesel
352,Renault Duster 110PS,Renault,2012,"5,01,000","35,000 kms",Diesel
353,Mahindra XUV500,Mahindra,2016,"11,30,000","72,000 kms",Diesel
354,Tata Indigo eCS,Tata,2014,"2,50,000","40,000 kms",Diesel
355,Mahindra Bolero SLE,Mahindra,2013,"3,30,000","80,200 kms",Diesel
356,Force Motors Force,Force,2015,"5,80,000","3,200 kms",Diesel
357,Skoda Rapid Elegance,Skoda,2013,"3,40,000","48,000 kms",Diesel
358,Tata Vista Quadrajet,Tata,2011,"1,20,000","90,000 kms",Diesel
359,Maruti Suzuki Alto,Maruti,2015,"2,65,000","12,000 kms",Petrol
360,Maruti Suzuki SX4,Maruti,2012,"2,65,000","46,000 kms",Diesel
361,Maruti Suzuki Zen,Maruti,2003,"85,000","69,900 kms",Petrol
362,Mahindra Jeep CL550,Mahindra,2019,"3,79,000","0,000 kms",Diesel
363,Hyundai i10 Magna,Hyundai,2011,"1,75,000","45,000 kms",Petrol
364,Maruti Suzuki Alto,Maruti,2015,"2,19,000","5,000 kms",Petrol
365,Maruti Suzuki Swift,Maruti,2016,"3,50,000","1,66,000 kms",Diesel
366,Honda City ZX,Honda,2008,"1,49,000","42,000 kms",Petrol
367,Mahindra Jeep CL550,Mahindra,2018,"3,85,000",588 kms,Diesel
368,Mahindra Jeep MM,Mahindra,2006,"4,25,000",122 kms,Diesel
369,Chevrolet Beat Diesel,Chevrolet,2017,"1,50,000","62,000 kms",Diesel
370,Honda City 1.5,Honda,2010,"2,25,000","70,000 kms",Petrol
371,Hyundai Verna 1.4,Hyundai,2014,"3,75,000","36,000 kms",Petrol
372,Toyota Innova 2.5,Toyota,2012,"7,70,000",0 kms,Diesel
373,Maruti Suzuki Maruti,Maruti,1995,"30,000","55,000 kms",Petrol
374,Toyota Etios,Toyota,2011,"2,75,000","36,000 kms",Diesel
375,Volkswagen Polo,Volkswagen,2015,"3,30,000","38,000 kms",Diesel
376,Maruti Suzuki Swift,Maruti,2014,"3,35,000","55,000 kms",Diesel
377,Hyundai Elite i20,Hyundai,2015,"4,50,000","20,000 kms",Diesel
378,Maruti Suzuki Swift,Maruti,2012,"2,25,000","40,000 kms",Petrol
379,Maruti Suzuki Versa,Maruti,2004,"80,000","50,000 kms",Petrol
380,Tata Indigo LX,Tata,2016,"1,30,000","1,04,000 kms",Diesel
381,Volkswagen Vento Konekt,Volkswagen,2011,"2,45,000","65,000 kms",Diesel
382,Mercedes Benz C,Mercedes,2002,"3,99,000","41,000 kms",Petrol
383,Maruti Suzuki Ertiga,Maruti,2013,"4,50,000","90,000 kms",Diesel
384,Honda City,Honda,2000,"65,000","80,000 kms",Petrol
385,Hyundai Santro Xing,Hyundai,2006,"75,000","46,000 kms",Petrol
386,Maruti Suzuki Omni,Maruti,2001,"70,000","70,000 kms",Petrol
387,Hyundai Sonata Transform,Hyundai,2017,"1,90,000","36,469 kms",Diesel
388,Hyundai Elite i20,Hyundai,2018,"6,00,000","7,800 kms",Petrol
389,Volkswagen Vento Konekt,Volkswagen,2011,"2,45,000","65,000 kms",Diesel
390,Maruti Suzuki Alto,Maruti,2017,"2,40,000","60,000 kms",Petrol
391,Maruti Suzuki Alto,Maruti,2011,"1,55,000","32,000 kms",Petrol
392,Honda Jazz S,Honda,2009,"1,69,999","24,695 kms",Petrol
393,Hyundai Grand i10,Hyundai,2017,"4,50,000","15,141 kms",Petrol
394,Maruti Suzuki Zen,Maruti,2001,"40,000","40,000 kms",Petrol
395,Mahindra Scorpio W,Mahindra,2012,"1,65,000","65,000 kms",Diesel
396,Maruti Suzuki Alto,Maruti,2014,"2,70,000","22,000 kms",Petrol
397,Hyundai Grand i10,Hyundai,2016,"2,80,000","59,910 kms",Diesel
398,Mahindra XUV500 W8,Mahindra,2012,"5,60,000","1,00,000 kms",Diesel
399,Hyundai Creta 1.6,Hyundai,2016,"9,50,000","25,000 kms",Petrol
400,Hyundai i20 Magna,Hyundai,2013,"3,10,000","35,000 kms",Petrol
401,Renault Duster 85,Renault,2015,"7,15,000","65,000 kms",Diesel
402,Hyundai Grand i10,Hyundai,2014,"3,40,000","35,000 kms",Petrol
403,Honda Brio V,Honda,2012,"2,35,000","33,000 kms",Petrol
404,Mahindra TUV300 T4,Mahindra,2017,"6,10,000","68,000 kms",Diesel
405,Chevrolet Spark LS,Chevrolet,2010,"95,000","23,000 kms",Petrol
406,Mahindra TUV300 T8,Mahindra,2018,"10,00,000","4,500 kms",Diesel
407,Maruti Suzuki Swift,Maruti,2015,"2,20,000","1,29,000 kms",Diesel
408,Nissan X Trail,Nissan,2019,"12,00,000",300 kms,Diesel
409,Maruti Suzuki Alto,Maruti,2015,"2,30,000","5,000 kms",Petrol
410,Ford Ikon 1.3,Ford,2001,"45,000","65,000 kms",Petrol
411,Toyota Fortuner 3.0,Toyota,2010,"9,40,000","1,31,000 kms",Diesel
412,Tata Manza ELAN,Tata,2010,"1,55,555","1,11,111 kms",Petrol
413,Mercedes Benz A,Mercedes,2013,"15,00,000","14,000 kms",Petrol
414,Chevrolet Beat LS,Chevrolet,2016,"2,10,000","22,000 kms",Diesel
415,Ford EcoSport Trend,Ford,2013,"4,95,000","38,000 kms",Diesel
416,Tata Indigo LS,Tata,2016,"1,25,000","70,000 kms",Diesel
417,Hyundai i20 Magna,Hyundai,2010,"1,95,000","36,000 kms",Petrol
418,Volkswagen Vento Highline,Volkswagen,2015,"5,50,000","34,000 kms",Diesel
419,Renault Kwid RXT,Renault,2015,"2,70,000","43,000 kms",Petrol
420,Ford EcoSport Titanium,Ford,2014,"5,00,000","40,000 kms",Diesel
421,Honda Amaze 1.5,Honda,2016,"2,40,000","1,60,000 kms",Diesel
422,Hyundai Verna 1.6,Hyundai,2017,"8,00,000","12,000 kms",Petrol
423,BMW 5 Series,BMW,2011,"12,99,000","49,000 kms",Diesel
424,Skoda Superb 1.8,Skoda,2011,"5,30,000","68,000 kms",Petrol
425,Audi Q3 2.0,Audi,2013,"14,99,000","37,000 kms",Diesel
426,Mahindra Bolero DI,Mahindra,2012,"2,20,000","59,466 kms",Diesel
427,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
428,Ford Figo Duratorq,Ford,2012,"2,50,000","99,000 kms",Diesel
429,Maruti Suzuki Wagon,Maruti,2018,"3,95,000","25,500 kms",Petrol
430,Mahindra Logan Diesel,Mahindra,2009,"1,30,000","66,000 kms",Petrol
431,Tata Nano GenX,Tata,2010,"32,000","44,005 kms",Petrol
432,Mahindra TUV300 T4,Mahindra,2016,"5,40,000","35,000 kms",Diesel
433,Mahindra TUV300 T4,Mahindra,2016,"5,40,000","35,000 kms",Diesel
434,Hyundai Elite i20,Hyundai,2015,"4,05,000","28,000 kms",Petrol
435,Hyundai Elite i20,Hyundai,2015,"4,00,000","30,000 kms",Petrol
436,Honda City SV,Honda,2017,"7,60,000","4,000 kms",Petrol
437,Maruti Suzuki Baleno,Maruti,2016,"5,00,000","28,000 kms",Petrol
438,Ford Figo Petrol,Ford,2011,"1,75,000","75,000 kms",Petrol
439,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
440,Honda City,Honda,2017,"7,50,000","3,000 kms",Petrol
441,Hyundai Elite i20,Hyundai,2015,"4,19,000","20,000 kms",Petrol
442,Maruti Suzuki Versa,Maruti,2004,"90,000","50,000 kms",Petrol
443,Hyundai Eon Era,Hyundai,2018,"1,40,000","2,110 kms",Petrol
444,Mitsubishi Pajero Sport,Mitsubishi,2015,"15,40,000","43,222 kms",Petrol
445,Hyundai i10 Magna,Hyundai,2008,"2,75,000","1,00,200 kms",Petrol
446,Toyota Corolla H2,Toyota,2003,"1,50,000","1,00,000 kms",Petrol
447,Maruti Suzuki Swift,Maruti,2011,"2,30,000",65 kms,Petrol
448,Tata Indigo CS,Tata,2015,"1,23,000","1,00,000 kms",Diesel
449,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
450,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
451,Hyundai Xcent Base,Hyundai,2016,"3,00,000","1,40,000 kms",Diesel
452,Honda City,Honda,2015,"4,99,999","55,000 kms",Petrol
453,Hyundai Accent Executive,Hyundai,2009,"1,65,000","48,000 kms",Petrol
454,Maruti Suzuki Baleno,Maruti,2016,"4,98,000","22,000 kms",Petrol
455,Tata Zest XE,Tata,2018,"4,80,000","1,03,553 kms",Diesel
456,Maruti Suzuki Dzire,Maruti,2017,"4,88,000","80,000 kms",Diesel
457,Tata Sumo Gold,Tata,2014,"2,50,000","99,000 kms",Diesel
458,Toyota Corolla Altis,Toyota,2010,"2,20,000","58,000 kms",Petrol
459,Maruti Suzuki Eeco,Maruti,2013,"2,90,000","70,000 kms",LPG
460,Toyota Fortuner 3.0,Toyota,2015,"15,25,000","1,20,000 kms",Diesel
461,Mahindra XUV500 W6,Mahindra,2013,"5,48,900","49,800 kms",Diesel
462,Tata Tigor Revotron,Tata,2019,"6,50,000",100 kms,Diesel
463,Maruti Suzuki 800,Maruti,2001,"55,000","81,876 kms",Petrol
464,Maruti Suzuki Ertiga,Maruti,2015,"5,50,000","75,000 kms",Petrol
465,Maruti Suzuki Versa,Maruti,2004,"90,000","50,000 kms",Petrol
466,Honda Mobilio S,Honda,2014,"3,99,000","44,000 kms",Diesel
467,Maruti Suzuki Ertiga,Maruti,2016,"7,30,000","55,000 kms",Diesel
468,Maruti Suzuki Vitara,Maruti,2017,"7,25,000","36,000 kms",Diesel
469,Hyundai Verna 1.6,Hyundai,2016,"1,95,000","56,000 kms",Diesel
470,Maruti Suzuki Swift,Maruti,2007,"1,30,000","62,000 kms",Petrol
471,Toyota Fortuner 3.0,Toyota,2015,"15,25,000","1,20,000 kms",Diesel
472,Maruti Suzuki Omni,Maruti,2014,"1,90,000","6,020 kms",Petrol
473,Honda Amaze,Honda,2013,"2,50,000","55,700 kms",Diesel
474,Tata Indica,Tata,2005,"80,000","42,000 kms",Petrol
475,Hyundai Santro Xing,Hyundai,2003,"1,20,000","50,000 kms",Petrol
476,Maruti Suzuki Zen,Maruti,2010,"1,49,000","35,000 kms",Petrol
477,Maruti Suzuki Wagon,Maruti,2014,"2,50,000","18,500 kms",Petrol
478,Maruti Suzuki Wagon,Maruti,2007,"1,20,000","7,000 kms",Petrol
479,Honda Brio VX,Honda,2017,"4,50,000","11,000 kms",Petrol
480,Maruti Suzuki Zen,Maruti,2003,"99,999","53,000 kms",Petrol
481,Maruti Suzuki Zen,Maruti,2008,"1,35,000","23,000 kms",Petrol
482,Maruti Suzuki Wagon,Maruti,2016,"2,25,000","35,500 kms",Diesel
483,Maruti Suzuki Alto,Maruti,2010,"99,000","22,134 kms",Petrol
484,Renault Kwid RXT,Renault,2019,"3,70,000","1,000 kms",Petrol
485,Tata Nano Lx,Tata,2010,"52,000","9,000 kms",Petrol
486,Jaguar XE XE,Jaguar,2016,"28,00,000","8,500 kms",Petrol
487,Hyundai Eon Magna,Hyundai,2014,"1,90,000","35,000 kms",Petrol
488,Honda City 1.5,Honda,2014,"4,99,000","22,000 kms",Petrol
489,Hindustan Motors Ambassador,Hindustan,2002,"90,000","25,000 kms",Diesel
490,Maruti Suzuki Ritz,Maruti,2010,"1,49,000","40,000 kms",Petrol
491,Hyundai Grand i10,Hyundai,2017,"4,00,000","20,000 kms",Petrol
492,Hyundai Eon D,Hyundai,2016,"1,20,000","87,000 kms",Petrol
493,Maruti Suzuki Swift,Maruti,2015,"2,50,000","55,000 kms",Petrol
494,Maruti Suzuki Wagon,Maruti,2017,"3,75,000","23,000 kms",Petrol
495,Honda Amaze 1.2,Honda,2014,"3,81,000","6,000 kms",Petrol
496,Maruti Suzuki Estilo,Maruti,2013,"1,80,000","65,000 kms",Petrol
497,Maruti Suzuki Vitara,Maruti,2016,"5,80,000","25,000 kms",Diesel
498,Maruti Suzuki Eeco,Maruti,2015,"2,78,000","39,000 kms",Petrol
499,Hyundai Creta 1.6,Hyundai,2016,"10,00,000","8,000 kms",Petrol
500,Mahindra Scorpio Vlx,Mahindra,2013,"6,90,000","75,000 kms",Diesel
501,Maruti Suzuki Ertiga,Maruti,2012,"4,80,000","51,000 kms",Diesel
502,Mitsubishi Lancer 1.8,Mitsubishi,2006,"85,000","50,000 kms",Petrol
503,Maruti Suzuki Maruti,Maruti,2001,"40,000","75,000 kms",Petrol
504,Maruti Suzuki Alto,Maruti,2015,"90,000","55,800 kms",Petrol
505,Hyundai Grand i10,Hyundai,2015,"3,40,000","53,000 kms",Petrol
506,Hyundai Eon D,Hyundai,2018,"2,60,000","25,000 kms",Petrol
507,Ford Fiesta SXi,Ford,2009,"2,50,000","56,400 kms",Petrol
508,Maruti Suzuki Ritz,Maruti,2010,"1,80,000","72,160 kms",Diesel
509,Hyundai Verna Fluidic,Hyundai,2012,"3,50,000","10,000 kms",Diesel
510,Maruti Suzuki Wagon,Maruti,2006,"90,001","48,000 kms",Petrol
511,Maruti Suzuki Estilo,Maruti,2007,"1,15,000","36,000 kms",Petrol
512,Audi A6 2.0,Audi,2012,"15,99,000","11,500 kms",Diesel
513,Maruti Suzuki Wagon,Maruti,2003,"1,30,000","1,33,000 kms",Petrol
514,Maruti Suzuki Wagon,Maruti,2009,"1,59,000","27,000 kms",Petrol
515,Maruti Suzuki Wagon,Maruti,2009,"1,60,000","35,000 kms",Petrol
516,Maruti Suzuki Alto,Maruti,2010,"1,10,000","55,000 kms",Petrol
517,Maruti Suzuki Baleno,Maruti,2016,"4,25,000","40,000 kms",Petrol
518,Hyundai Verna 1.6,Hyundai,2019,"9,00,000","2,000 kms",Petrol
519,Maruti Suzuki Swift,Maruti,2009,"1,50,000","45,000 kms",Petrol
520,Hyundai Getz Prime,Hyundai,2009,"1,10,000","20,000 kms",Petrol
521,Hyundai Santro,Hyundai,2000,"51,999","88,000 kms",Petrol
522,Hyundai Getz Prime,Hyundai,2009,"1,15,000","20,000 kms",Petrol
523,Chevrolet Beat PS,Chevrolet,2012,"2,15,000","65,422 kms",Diesel
524,Ford EcoSport Trend,Ford,2017,"5,80,000","10,000 kms",Petrol
525,Maruti Suzuki Dzire,Maruti,2013,"3,80,000","35,000 kms",Petrol
526,Hyundai Fluidic Verna,Hyundai,2013,"3,50,000","1,17,000 kms",Diesel
527,Tata Indica V2,Tata,2005,"35,000","1,50,000 kms",Diesel
528,BMW X1 xDrive20d,BMW,2011,"11,50,000","72,000 kms",Diesel
529,Hyundai i20 Asta,Hyundai,2010,"3,00,000","10,750 kms",Petrol
530,Honda City 1.5,Honda,2009,"2,69,000","55,000 kms",Petrol
531,Tata Nano,Tata,2013,"60,000","6,800 kms",Petrol
532,Chevrolet Cruze LTZ,Chevrolet,2014,"4,00,000","41,000 kms",Diesel
533,Hyundai Verna Fluidic,Hyundai,2015,"4,30,000","73,000 kms",Diesel
534,Maruti Suzuki Swift,Maruti,2011,"1,40,000","65,000 kms",Diesel
535,Mahindra XUV500 W6,Mahindra,2014,"85,00,003","45,000 kms",Diesel
536,Mahindra XUV500 W10,Mahindra,2018,"12,99,000","40,000 kms",Diesel
537,Maruti Suzuki Alto,Maruti,2014,"1,99,000","37,000 kms",Petrol
538,Hyundai Accent GLE,Hyundai,2006,"90,000","55,000 kms",Petrol
539,Force Motors One,Force,2013,"5,50,000","1,40,000 kms",Diesel
540,Maruti Suzuki Alto,Maruti,2019,"2,65,000","9,800 kms",Petrol
541,Chevrolet Spark 1.0,Chevrolet,2011,"1,00,000","27,000 kms",Petrol
542,Hyundai i10,Hyundai,2009,"2,15,000","27,000 kms",Petrol
543,Toyota Etios Liva,Toyota,2012,"3,80,000","20,000 kms",Diesel
544,Renault Duster 85PS,Renault,2013,"4,01,919","57,923 kms",Diesel
545,Chevrolet Enjoy,Chevrolet,2014,"4,90,000","30,201 kms",Diesel
546,Maruti Suzuki Alto,Maruti,2017,"2,80,000","6,200 kms",Petrol
547,BMW 5 Series,BMW,2009,"6,50,000","37,518 kms",Petrol
548,Toyota Etios Liva,Toyota,2014,"1,60,000","24,652 kms",Petrol
549,Mahindra Jeep MM,Mahindra,2004,"4,24,000",383 kms,Diesel
550,Chevrolet Beat LS,Chevrolet,2016,"2,25,000","95,000 kms",Diesel
551,Chevrolet Cruze LTZ,Chevrolet,2011,"3,50,000","35,000 kms",Diesel
552,Jeep Wrangler Unlimited,Jeep,2015,"9,50,000","3,528 kms",Diesel
553,Maruti Suzuki Ertiga,Maruti,2013,"4,85,000","52,500 kms",Diesel
554,Hyundai Verna VGT,Hyundai,2010,"2,05,000","47,900 kms",Diesel
555,Maruti Suzuki Omni,Maruti,2012,"1,60,000","14,000 kms",Petrol
556,Maruti Suzuki Celerio,Maruti,2018,"3,10,000","37,000 kms",Petrol
557,Tata Zest Quadrajet,Tata,2017,"1,80,000","90,000 kms",Diesel
558,Mahindra XUV500 W6,Mahindra,2013,"5,49,900","52,800 kms",Diesel
559,Tata Indigo CS,Tata,2016,"1,50,000","1,04,000 kms",Diesel
560,Hyundai i10 Era,Hyundai,2011,"1,75,000","30,000 kms",Petrol
561,Tata Indigo eCS,Tata,2014,"95,000","1,95,000 kms",Diesel
562,Tata Indigo LX,Tata,2016,"2,30,000","1,04,000 kms",Diesel
563,Tata Indigo eCS,Tata,2016,"2,30,000","1,04,000 kms",Diesel
564,Tata Indigo Marina,Tata,2004,"1,80,000","70,000 kms",Diesel
565,Hyundai Xcent SX,Hyundai,2015,"4,00,000","43,000 kms",Diesel
566,Hyundai Eon Magna,Hyundai,2013,"1,85,000","23,000 kms",Petrol
567,Renault Duster 85,Renault,2015,"3,85,000","51,000 kms",Diesel
568,Maruti Suzuki Alto,Maruti,2009,"90,000","62,000 kms",Petrol
569,Tata Nano LX,Tata,2010,"32,000","48,008 kms",Petrol
570,Renault Duster 110,Renault,2013,"4,35,000","39,000 kms",Diesel
571,Maruti Suzuki Wagon,Maruti,2010,"2,25,000","40,000 kms",Petrol
572,Maruti Suzuki Swift,Maruti,2006,"1,89,700","48,247 kms",Petrol
573,Maruti Suzuki Ertiga,Maruti,2012,"3,89,700","39,000 kms",Diesel
574,Maruti Suzuki Swift,Maruti,2014,"3,65,000","23,000 kms",Petrol
575,Maruti Suzuki Alto,Maruti,2017,"3,60,000","9,400 kms",Petrol
576,Hyundai i20 Magna,Hyundai,2010,"2,10,000","50,000 kms",Petrol
577,Hyundai i10 Magna,Hyundai,2009,"1,70,000","75,000 kms",Petrol
578,Tata Zest XE,Tata,2017,"3,80,000","70,000 kms",Diesel
579,Mahindra Xylo E8,Mahindra,2009,"2,95,000","64,000 kms",Diesel
580,Toyota Corolla Altis,Toyota,2010,"1,85,000","55,000 kms",Petrol
581,Tata Manza Aqua,Tata,2014,"1,60,000","2,00,000 kms",Diesel
582,Renault Kwid 1.0,Renault,2018,"2,90,000","2,137 kms",Petrol
583,Tata Venture EX,Tata,2013,"1,00,000","30,000 kms",Diesel
584,Maruti Suzuki Swift,Maruti,2014,"3,15,000","44,000 kms",Petrol
585,Skoda Octavia Classic,Skoda,2006,"1,14,990","65,000 kms",Diesel
586,Maruti Suzuki Omni,Maruti,2012,"1,20,000","1,60,000 kms",LPG
587,Chevrolet Beat Diesel,Chevrolet,2011,"1,25,000","56,000 kms",Diesel
588,Tata Sumo Gold,Tata,2012,"2,10,000","75,000 kms",Diesel
589,Hyundai Verna 1.6,Hyundai,2018,"8,55,000","42,000 kms",Diesel
590,Tata Sumo Gold,Tata,2012,"2,10,000","75,000 kms",Diesel
591,Mahindra Scorpio 2.6,Mahindra,2007,"2,60,000","56,000 kms",Diesel
592,Maruti Suzuki Zen,Maruti,2002,"95,000","10,544 kms",Petrol
593,Maruti Suzuki Swift,Maruti,2011,"2,55,000","64,000 kms",Petrol
594,Mahindra Scorpio SLX,Mahindra,2008,"3,00,000","70,000 kms",Diesel
595,Hyundai Grand i10,Hyundai,2014,"3,40,000","25,000 kms",Petrol
596,Hyundai Elite i20,Hyundai,2017,"5,50,000","15,000 kms",Petrol
597,Ford Ikon 1.6,Ford,2003,"60,000","50,000 kms",Petrol
598,Toyota Innova 2.5,Toyota,2011,"7,50,000","1,47,000 kms",Diesel
599,Nissan Sunny XL,Nissan,2011,"2,30,000","52,000 kms",Petrol
600,Chevrolet Beat LT,Chevrolet,2012,"1,30,000","90,001 kms",Diesel
601,Maruti Suzuki Alto,Maruti,2017,"2,70,000","21,000 kms",Petrol
602,Maruti Suzuki Swift,Maruti,2012,"2,80,000","48,006 kms",Diesel
603,Maruti Suzuki Swift,Maruti,2012,"2,80,000","48,006 kms",Diesel
604,Maruti Suzuki Swift,Maruti,2012,"2,80,000","48,006 kms",Diesel
605,Toyota Innova 2.0,Toyota,2012,"6,00,000","80,000 kms",Diesel
606,Maruti Suzuki Swift,Maruti,2010,"1,90,000","74,000 kms",Diesel
607,Hyundai Elite i20,Hyundai,2015,"5,00,000","22,000 kms",Petrol
608,Mahindra XUV500 W10,Mahindra,2016,"10,65,000","41,000 kms",Diesel
609,Volkswagen Polo Trendline,Volkswagen,2015,"3,50,000","25,000 kms",Diesel
610,Toyota Etios Liva,Toyota,2012,"3,50,000","85,000 kms",Diesel
611,Mahindra TUV300 T4,Mahindra,2016,"5,40,000","29,500 kms",Diesel
612,Hyundai Elite i20,Hyundai,2015,"4,70,000","30,000 kms",Petrol
613,Hyundai Santro Xing,Hyundai,2014,"1,79,000","57,000 kms",Petrol
614,Maruti Suzuki Zen,Maruti,2003,"48,000","60,000 kms",Petrol
615,Maruti Suzuki Ciaz,Maruti,2016,"6,50,000","50,000 kms",Petrol
616,Hyundai Eon Era,Hyundai,2013,"1,90,000","39,700 kms",Petrol
617,Hyundai Elantra 1.8,Hyundai,2012,"5,00,000","65,000 kms",Petrol
618,Maruti Suzuki Swift,Maruti,2010,"2,70,000","67,000 kms",Diesel
619,Maruti Suzuki Zen,Maruti,2008,"1,25,000","46,000 kms",Petrol
620,Hyundai Eon Era,Hyundai,2012,"1,88,000","38,000 kms",Petrol
621,Hyundai Grand i10,Hyundai,2016,"3,80,000","27,000 kms",Petrol
622,Hyundai Verna Fluidic,Hyundai,2011,"3,65,000","43,000 kms",Diesel
623,Ford EcoSport Trend,Ford,2014,"4,65,000","47,000 kms",Petrol
624,Hyundai i20 Magna,Hyundai,2011,"2,40,000","42,000 kms",Petrol
625,Chevrolet Beat Diesel,Chevrolet,2016,"1,79,999","19,336 kms",Diesel
626,Tata Indica eV2,Tata,2015,"1,40,000","60,105 kms",Diesel
627,Jaguar XF 2.2,Jaguar,2013,"21,90,000","29,000 kms",Diesel
628,Audi Q5 2.0,Audi,2014,"23,90,000","34,000 kms",Diesel
629,BMW 3 Series,BMW,2011,"10,75,000","35,000 kms",Diesel
630,Maruti Suzuki Swift,Maruti,2015,"4,75,000","22,000 kms",Petrol
631,BMW X1 sDrive20d,BMW,2012,"10,25,000","41,000 kms",Diesel
632,Maruti Suzuki S,Maruti,2016,"6,15,000","21,000 kms",Diesel
633,Maruti Suzuki Ertiga,Maruti,2013,"4,75,000","48,000 kms",Diesel
634,Maruti Suzuki Alto,Maruti,2016,"2,70,000","38,000 kms",Petrol
635,Honda City SV,Honda,2014,"4,75,000","34,000 kms",Diesel
636,Volkswagen Vento Comfortline,Volkswagen,2011,"2,40,000","45,933 kms",Petrol
637,Honda City 1.5,Honda,2005,"1,20,000","68,000 kms",Petrol
638,Audi A4 2.0,Audi,2016,"19,00,000","44,000 kms",Diesel
639,Mahindra KUV100,Mahindra,2017,"3,60,000","35,000 kms",Diesel
640,Tata Zest XE,Tata,2018,"4,50,000","1,02,563 kms",Diesel
641,Mahindra XUV500 W8,Mahindra,2015,"9,00,000","28,600 kms",Diesel
642,Maruti Suzuki Swift,Maruti,2017,"6,50,000","41,800 kms",Diesel
643,Tata Sumo Gold,Tata,2014,"2,75,000","1,16,000 kms",Diesel
644,Maruti Suzuki Swift,Maruti,2009,"2,10,000","59,000 kms",Petrol
645,Mahindra Scorpio 2.6,Mahindra,2004,"1,75,000","58,000 kms",Diesel
646,Maruti Suzuki Omni,Maruti,2009,"85,000","45,000 kms",Petrol
647,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,90,000","42,590 kms",Diesel
648,Renault Duster,Renault,2014,"8,00,000","7,400 kms",Diesel
649,Volkswagen Jetta Comfortline,Volkswagen,2009,"4,50,000","54,500 kms",Diesel
650,Maruti Suzuki Ertiga,Maruti,2012,"10,00,000","2,00,000 kms",Diesel
651,Audi A4 2.0,Audi,2013,"15,10,000","27,000 kms",Diesel
652,Volvo S80 Summum,Volvo,2015,"18,50,000","42,000 kms",Diesel
653,Toyota Corolla Altis,Toyota,2014,"7,90,000","29,000 kms",Petrol
654,Mitsubishi Pajero Sport,Mitsubishi,2015,"17,25,000","37,000 kms",Diesel
655,Chevrolet Beat LT,Chevrolet,2012,"1,35,000","36,000 kms",Petrol
656,BMW X1,BMW,2011,"10,00,000","34,000 kms",Diesel
657,Datsun Redi GO,Datsun,2018,"2,99,999","7,000 kms",Petrol
658,Mercedes Benz C,Mercedes,2009,"12,25,000","76,000 kms",Diesel
659,Mahindra Scorpio SLX,Mahindra,2004,"1,75,000","60,000 kms",Diesel
660,Volkswagen Vento Comfortline,Volkswagen,2011,"2,00,000","95,000 kms",Diesel
661,Tata Indigo CS,Tata,2017,"2,70,000","50,000 kms",Diesel
662,Ford Figo Petrol,Ford,2019,"5,25,000",00 kms,Petrol
663,Honda City ZX,Honda,2006,"1,80,000","50,000 kms",Petrol
664,Maruti Suzuki Wagon,Maruti,2008,"1,40,000","68,000 kms",Petrol
665,Ford EcoSport Trend,Ford,2014,"4,00,000","16,000 kms",Petrol
666,Maruti Suzuki Swift,Maruti,2016,"4,99,000","51,000 kms",Diesel
667,Maruti Suzuki Omni,Maruti,2009,"85,000","56,000 kms",Petrol
668,Maruti Suzuki Zen,Maruti,2004,"70,000","1,00,000 kms",Petrol
669,Renault Duster RxL,Renault,2015,"5,50,000","36,000 kms",Petrol
670,Maruti Suzuki Swift,Maruti,2014,"3,70,000","11,523 kms",Petrol
671,Maruti Suzuki Baleno,Maruti,2018,"6,90,000","1,000 kms",Petrol
672,Honda WR V,Honda,2009,"2,50,000","60,000 kms",Petrol
673,Tata Indigo CS,Tata,2016,"1,10,000","85,000 kms",Diesel
674,Renault Duster 110,Renault,2013,"4,90,000","38,600 kms",Diesel
675,Mahindra Scorpio LX,Mahindra,2009,"3,20,000","95,500 kms",Diesel
676,Maruti Suzuki Zen,Maruti,2004,"68,000","56,000 kms",Petrol
677,Maruti Suzuki Wagon,Maruti,2014,"1,30,000","37,458 kms",Petrol
678,Maruti Suzuki SX4,Maruti,2016,"9,70,000","85,960 kms",Diesel
679,Audi A3 Cabriolet,Audi,2015,"31,00,000","12,516 kms",Petrol
680,Hyundai Eon D,Hyundai,2018,"2,80,000","35,000 kms",Petrol
681,Maruti Suzuki Zen,Maruti,2009,"1,25,000",00 kms,Petrol
682,Mahindra Scorpio SLX,Mahindra,2008,"2,85,000","80,000 kms",Diesel
683,Hyundai Santro AE,Hyundai,2011,"1,65,000","45,000 kms",Petrol
